algo,seed,phase1_best_seed,w_emission,w_soc_squared,total_timesteps,training_duration_hms,total_reward,rmse_speed_kmph,mae_speed_kmph,total_nox_g,total_fuel_g,initial_soc,final_soc,delta_soc,max_abs_soc_drift,rms_soc_drift,abs_path,p1_rmse,p1_nox,p1_dsoc,drmse_pct,dnox_pct,abs_dsoc
td3,0,1,1.0098926776471453,64.4979146356826,4000000,12:47:09,3452.39794921875,4.1098372032819785,2.6290551403159066,6.0869574546813965,135.35070413970948,0.6992747783660889,0.5780432224273682,-0.1212315559387207,0.19658249616622925,0.13250577449798584,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_0,3.515,73.42,0.2999,16.922822283982317,-91.70940145099237,0.1212315559387207
td3,1,1,1.0098926776471453,64.4979146356826,4000000,15:51:25,3064.24951171875,6.779178394165852,4.960050191240663,15.919389724731445,81.88608911514282,0.6974301338195801,0.6729243993759155,-0.02450573444366455,0.1375201940536499,0.08611404895782471,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_1,3.515,73.42,0.2999,92.86425018964016,-78.31736621529359,0.02450573444366455
td3,2,1,1.0098926776471453,64.4979146356826,4000000,9:03:46,3508.64111328125,3.538393912024768,1.5259232506483056,6.169497013092041,77.84581431436538,0.7003276944160461,0.6152154803276062,-0.08511221408843994,0.13328099250793457,0.07146582007408142,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_2,3.515,73.42,0.2999,0.665545150064515,-91.59698036898388,0.08511221408843994
td3,3,1,1.0098926776471453,64.4979146356826,4000000,16:58:33,2848.39453125,35.568929715541174,13.941004839762279,14.984271049499512,80.29407588219642,0.7001575231552124,0.6610851287841797,-0.039072394371032715,0.24831020832061768,0.11611772328615189,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_3,3.515,73.42,0.2999,911.9183418361641,-79.59102281462883,0.039072394371032715
td3,4,1,1.0098926776471453,64.4979146356826,4000000,15:16:30,3502.819580078125,3.6369559731593473,1.9261972792249946,17.063722610473633,126.71145629882812,0.6993205547332764,0.6777247190475464,-0.02159583568572998,0.16554731130599976,0.08409315347671509,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_4,3.515,73.42,0.2999,3.4695867186158504,-76.75875427611872,0.02159583568572998
td3,5,1,1.0098926776471453,64.4979146356826,4000000,12:40:23,3421.387939453125,4.1581129051388075,2.597774422940495,3.9993906021118164,87.68764478302002,0.7003583908081055,0.6154012680053711,-0.08495712280273438,0.1363028883934021,0.059258755296468735,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_5,3.515,73.42,0.2999,18.296241966964647,-94.55272323329908,0.08495712280273438
td3,6,1,1.0098926776471453,64.4979146356826,4000000,12:42:27,3311.4580078125,4.833553140968644,3.2803625530519565,12.928545951843262,63.1777813885212,0.6999844312667847,0.6609488725662231,-0.03903555870056152,0.08297848701477051,0.03878914937376976,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_6,3.515,73.42,0.2999,37.51218039740096,-82.3909752767049,0.03903555870056152
td3,7,1,1.0098926776471453,64.4979146356826,4000000,12:29:40,3491.41552734375,3.7832820097973747,2.061079961453984,5.097519874572754,45.51319912648201,0.6999868750572205,0.6139463782310486,-0.08604049682617188,0.13729315996170044,0.10091114044189453,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_7,3.515,73.42,0.2999,7.632489610167129,-93.05704184885215,0.08604049682617188
td3,8,1,1.0098926776471453,64.4979146356826,4000000,12:26:49,3513.276611328125,3.38582544825985,1.6543455865854155,9.597159385681152,60.98122291493416,0.7003627419471741,0.6478001475334167,-0.052562594413757324,0.05838268995285034,0.038235075771808624,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_8,3.515,73.42,0.2999,-3.674951685352771,-86.92841271359146,0.052562594413757324
td3,9,1,1.0098926776471453,64.4979146356826,4000000,12:26:06,3489.671875,4.262678539731141,2.0167172456589233,8.276956558227539,38.415204674959185,0.7006767392158508,0.6426120400428772,-0.05806469917297363,0.06973356008529663,0.03441227227449417,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_seeds/seed_9,3.515,73.42,0.2999,21.271082211412253,-88.72656420835257,0.05806469917297363
