algo,number,state,trial_dir,w_emission,w_soc_squared,phase1_best_seed,value,rmse_speed_kmph,total_nox_g,delta_soc,abs_dsoc,max_abs_soc_drift,rms_soc_drift,rmse_penalty,soc_penalty,drmse_pct,dnox_pct,p1_rmse,p1_nox,p1_dsoc,duration_s,datetime_start,datetime_complete,abs_path
sac,11,COMPLETE,trial_011_we1.027_wsq228.9,1.0267486467882545,228.8952351940932,3,3.796127796173096,3.098049719112566,3.796127796173096,-0.0232871174812316,0.0232871174812316,0.0284482240676879,0.0097384816035628,0.0,0.0,-0.25596525716142565,-92.24330241893523,3.106,48.94,0.2987,48809.653185,2026-05-12 15:53:15.482913,2026-05-13 05:26:45.136098,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_011_we1.027_wsq228.9
sac,12,PRUNED,trial_012_we1.059_wsq237.8,1.0587342366132204,237.84898198433572,3,3.560816764831543,,,,,,,,,,,3.106,48.94,0.2987,26042.436754,2026-05-12 15:53:41.337585,2026-05-12 23:07:43.774339,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_012_we1.059_wsq237.8
sac,13,PRUNED,trial_013_we0.788_wsq45.6,0.7882825137358082,45.59179243201968,3,3.689370393753052,,,,,,,,,,,3.106,48.94,0.2987,25347.48121,2026-05-12 15:59:55.657151,2026-05-12 23:02:23.138361,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_013_we0.788_wsq45.6
sac,14,PRUNED,trial_014_we1.139_wsq248.0,1.1391237117701316,248.02571681048417,3,3.3514530658721924,,,,,,,,,,,3.106,48.94,0.2987,25009.648221,2026-05-12 16:02:35.499511,2026-05-12 22:59:25.147732,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_014_we1.139_wsq248.0
sac,15,COMPLETE,trial_015_we1.016_wsq244.1,1.0164301621989176,244.132530810841,3,11.303253173828123,3.2751937109675673,11.303253173828123,0.0058932304382324,0.0058932304382324,0.0145784616470336,0.0079142991453409,0.0,0.0,5.447318447120651,-76.90385538653837,3.106,48.94,0.2987,49257.963101,2026-05-12 16:03:46.171242,2026-05-13 05:44:44.134343,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_015_we1.016_wsq244.1
sac,16,RUNNING,trial_016_we0.790_wsq48.9,0.7904372076870806,48.90390921155161,3,,,,,,,,,,,,3.106,48.94,0.2987,,2026-05-12 18:48:10.458370,,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_016_we0.790_wsq48.9
sac,17,RUNNING,trial_017_we0.769_wsq26.1,0.7686188989069842,26.050094110381153,3,,,,,,,,,,,,3.106,48.94,0.2987,,2026-05-12 19:27:15.743718,,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_017_we0.769_wsq26.1
sac,18,RUNNING,trial_018_we0.770_wsq165.9,0.770468781337103,165.86342343783068,3,,,,,,,,,,,,3.106,48.94,0.2987,,2026-05-12 19:29:33.617052,,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_018_we0.770_wsq165.9
td3,0,COMPLETE,trial_000_we0.760_wsq156.9,0.7603718266168541,156.89835431122066,1,14.912715911865234,3.238572603959505,14.912715911865234,-0.0313988327980041,0.0313988327980041,0.0313988327980041,0.0235028304159641,0.0,0.0,-7.864221793470698,-79.68848282230286,3.515,73.42,0.2999,57472.684481,2026-05-11 15:36:05.230031,2026-05-12 07:33:57.914512,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_000_we0.760_wsq156.9
td3,1,COMPLETE,trial_001_we0.698_wsq137.4,0.6976782048856811,137.4096315056713,1,10.91639232635498,4.250332498819954,10.91639232635498,-0.0083006620407104,0.0083006620407104,0.0311614274978637,0.0129905184730887,0.0,0.0,20.919843494166525,-85.13158223051623,3.515,73.42,0.2999,47189.727383,2026-05-11 15:36:05.250096,2026-05-12 04:42:34.977479,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_001_we0.698_wsq137.4
td3,2,PRUNED,trial_002_we0.478_wsq67.9,0.4776480153478961,67.87725834754703,1,4.1967315673828125,,,,,,,,,,,3.515,73.42,0.2999,60070.352189,2026-05-11 15:36:05.812453,2026-05-12 08:17:16.164642,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_002_we0.478_wsq67.9
td3,3,COMPLETE,trial_003_we1.093_wsq56.2,1.0929338597923337,56.168909722661155,1,5.326985436016827,4.320047953365933,2.990877628326416,-0.0648245215415954,0.0648245215415954,0.0983332991600036,0.0607426650822162,0.0,2.3361078076904103,22.903213467025104,-95.92634482657803,3.515,73.42,0.2999,45290.053921,2026-05-11 15:36:06.263223,2026-05-12 04:10:56.317144,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_003_we1.093_wsq56.2
td3,4,COMPLETE,trial_004_we1.010_wsq64.5,1.0098926776471453,64.4979146356826,1,3.9495795782045207,4.009903464064092,2.6836013793945312,-0.0741060972213745,0.0741060972213745,0.0855805873870849,0.0663898661732673,0.0,1.2659781988099892,14.079757156873157,-96.34486328058495,3.515,73.42,0.2999,47381.284752,2026-05-11 15:36:07.319569,2026-05-12 04:45:48.604321,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_004_we1.010_wsq64.5
td3,5,COMPLETE,trial_005_we1.132_wsq211.1,1.1323417622329712,211.05614723254135,1,21.9065371825551,4.957940143229463,21.10061264038086,-0.0081567168235778,0.0081567168235778,0.0783888101577758,0.0340612269937992,0.0,0.8059245421742387,41.050928683626246,-71.2604022876861,3.515,73.42,0.2999,44628.854919,2026-05-11 15:36:08.309042,2026-05-12 03:59:57.163961,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_005_we1.132_wsq211.1
td3,6,PRUNED,trial_006_we1.125_wsq44.5,1.1249452091034289,44.51922360785548,1,7.077962398529053,,,,,,,,,,,3.515,73.42,0.2999,48772.000056,2026-05-11 15:36:09.314509,2026-05-12 05:09:01.314565,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_006_we1.125_wsq44.5
td3,7,COMPLETE,trial_007_we0.605_wsq219.4,0.6054382009245955,219.442587787683,1,17.05937957763672,3.826369580627,17.05937957763672,-0.0032952427864074,0.0032952427864074,0.0412915349006652,0.0204270631074905,0.0,0.0,8.858309548421047,-76.76466960278302,3.515,73.42,0.2999,57866.297802,2026-05-11 15:36:10.311306,2026-05-12 07:40:36.609108,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_007_we0.605_wsq219.4
td3,8,RUNNING,trial_008_we0.307_wsq212.7,0.3069302533412129,212.65660710525125,1,,,,,,,,,,,,3.515,73.42,0.2999,,2026-05-11 15:36:11.332144,,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_008_we0.307_wsq212.7
td3,9,COMPLETE,trial_009_we1.121_wsq94.7,1.120705487919412,94.67774373411868,1,20.821788787841797,4.568080866198339,20.821788787841797,-0.040917158126831,0.040917158126831,0.0418879985809326,0.0263005755841732,0.0,0.0,29.959626349881617,-71.64016781824871,3.515,73.42,0.2999,44943.116517,2026-05-11 15:36:12.316173,2026-05-12 04:05:15.432690,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_009_we1.121_wsq94.7
td3,10,COMPLETE,trial_010_we0.826_wsq36.3,0.8260089598942263,36.30194672742705,1,112.6163121539981,6.418496827257129,6.811203956604004,-0.2726570665836334,0.2726570665836334,0.306051641702652,0.1936417073011398,40.24266497877082,65.56244321862327,82.60303918227962,-90.72295838108961,3.515,73.42,0.2999,43580.549121,2026-05-12 03:59:57.176067,2026-05-12 16:06:17.725188,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_010_we0.826_wsq36.3
td3,11,PRUNED,trial_011_we0.766_wsq229.0,0.7659500383230471,228.98945289848564,1,82.39702606201172,,,,,,,,,,,3.515,73.42,0.2999,20991.003286,2026-05-12 04:05:15.443381,2026-05-12 09:55:06.446667,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_011_we0.766_wsq229.0
td3,12,COMPLETE,trial_012_we0.782_wsq126.8,0.7821802408777114,126.84204571200496,1,10.56804656982422,4.068189585615409,10.56804656982422,-0.0427725315093994,0.0427725315093994,0.0430582761764526,0.0287446565926074,0.0,0.0,15.737968296313193,-85.60603845025304,3.515,73.42,0.2999,43139.1376,2026-05-12 04:10:56.328138,2026-05-12 16:09:55.465738,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_012_we0.782_wsq126.8
td3,13,COMPLETE,trial_013_we0.576_wsq163.1,0.57588191296285,163.1276228052623,1,8.369087219238281,3.835289220405253,8.369087219238281,-0.0106985569000244,0.0106985569000244,0.0181182622909545,0.0083205793052911,0.0,0.0,9.112068859324408,-88.60107978856132,3.515,73.42,0.2999,43047.423052,2026-05-12 04:42:34.988005,2026-05-12 16:40:02.411057,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2_optuna/trial_013_we0.576_wsq163.1
