time,ice_torque_pred,car_speed_pred,soc_pred,ice_torque_true,car_speed_true,soc_true
156.5,-0.009831798,12.008636,0.6863005,0.0,12.374,0.68858
157.0,-0.009831798,12.017111,0.68637824,0.0,12.693,0.68855
157.5,-0.009776727,12.062415,0.6864076,0.0,13.276,0.68851
158.0,-0.009795085,12.236254,0.6863684,0.0,14.161,0.68843
158.5,-0.009740015,12.588597,0.686246,0.0,15.373,0.68832
159.0,-0.009703301,13.133097,0.68604463,0.0,16.773,0.68817
159.5,-0.009703301,13.938535,0.6857701,0.0,18.22,0.68801
160.0,-0.009629874,15.118692,0.6854411,0.0,19.713,0.68783
160.5,-0.00964823,16.613653,0.6851247,0.0,21.283,0.68761
161.0,-0.009629874,18.086655,0.6848912,0.0,22.774,0.6874
161.5,-0.009574803,19.407808,0.68471426,0.0,24.025,0.68723
162.0,-0.009574803,20.633501,0.68455136,0.0,25.148,0.68708
162.5,-0.00953809,21.804947,0.6843947,0.0,26.219,0.68693
163.0,-0.00964823,22.917944,0.6842548,0.0,27.252,0.68678
163.5,-0.00953809,23.96196,0.68413305,0.0,28.238,0.68664
164.0,-0.00953809,24.920736,0.68402547,0.0,29.166,0.6865
164.5,-0.009501376,25.801142,0.68392295,0.0,30.024,0.68638
165.0,-0.0094646625,26.552776,0.68383056,0.0,30.78,0.68626
165.5,-0.009446305,27.21447,0.6837405,0.0,31.393,0.68617
166.0,-0.009409592,27.849155,0.6836465,0.0,31.945,0.68608
166.5,-0.009354522,28.50269,0.68354625,0.0,32.509,0.68599
167.0,-0.0092994515,29.257568,0.68342644,0.0,33.172,0.68588
167.5,-0.0092994515,30.098972,0.6832894,0.0,34.002,0.68574
168.0,-0.009244381,30.959492,0.6831382,0.0,34.938,0.68557
168.5,-0.009226024,31.77093,0.6829773,0.0,35.894,0.68539
169.0,-0.009226024,32.43912,0.68281925,0.0,36.735,0.68523
169.5,-0.009170954,32.982986,0.6826672,0.0,37.347,0.68512
170.0,-0.009170954,33.29965,0.68255377,0.0,37.674,0.68505
170.5,-0.009152598,33.398483,0.68248963,0.0,37.631,0.68503
171.0,-0.009189311,33.102116,0.68251634,0.0,37.231,0.68505
171.5,-0.00913424,32.36599,0.6826374,0.0,36.346,0.68509
172.0,-0.00907917,31.175268,0.68280953,0.0,35.078,0.68516
172.5,-0.009005743,29.700466,0.6829257,0.0,33.39,0.68525
173.0,-0.009060813,28.12485,0.6828841,0.0,31.49,0.68534
173.5,-0.008969029,26.508816,0.68280196,0.0,29.567,0.68542
174.0,-0.009005743,25.000977,0.68301505,0.0,27.833,0.68549
174.5,-0.008895602,23.783592,0.6833123,0.0,26.501,0.68554
175.0,-0.008913959,23.003716,0.683521,0.0,25.634,0.68556
175.5,-0.008950673,22.565298,0.6836278,0.0,25.273,0.68556
176.0,-0.008748748,22.293606,0.68367535,0.0,25.262,0.68555
176.5,-0.008767105,22.111559,0.68367434,0.0,25.501,0.68551
177.0,-0.008767105,22.057434,0.6836212,0.0,25.975,0.68545
177.5,-0.008767105,22.135956,0.6835011,0.0,26.684,0.68535
