ICE_ICE_Torque_Nm,ICE_NOx_gps,ICE_CO_gps,ICE_THC_gps,ICE_CO2_gps,DRV_Car_Speed_kmph,DRV_SOC_1
-2.5806801,8.7771696e-05,-2.3407079e-06,5.042148e-05,0.16107355,-0.24031512,0.6951935
-2.5800514,8.784953e-05,-2.3476591e-06,5.0542232e-05,0.16109847,-0.22648518,0.69520867
-2.5793886,8.7961955e-05,-2.3548675e-06,5.068023e-05,0.16112316,-0.24689622,0.6952393
-2.5787938,8.806574e-05,-2.362076e-06,5.0809605e-05,0.16114785,-0.28226745,0.695282
-2.5780969,8.810033e-05,-2.369027e-06,5.0956227e-05,0.16117238,-0.30989766,0.69532317
-2.577485,8.814357e-05,-2.3757207e-06,5.1094226e-05,0.16119684,-0.32086122,0.6953538
-2.5768223,8.827329e-05,-2.3826717e-06,5.1163228e-05,0.16122091,-0.3207351,0.6953746
-2.5761595,8.8290595e-05,-2.389623e-06,5.1283976e-05,0.16124508,-0.32009947,0.6953922
-2.5755308,8.8446264e-05,-2.396574e-06,5.141335e-05,0.16126908,-0.3253599,0.69541264
-2.574936,8.8489505e-05,-2.40301e-06,5.15341e-05,0.16129299,-0.33585602,0.6954376
-2.57429,8.85414e-05,-2.4097037e-06,5.162035e-05,0.16131671,-0.34723014,0.6954648
-2.5736783,8.861058e-05,-2.41614e-06,5.1749725e-05,0.16134027,-0.35574523,0.6954912
-2.5730495,8.8679764e-05,-2.4236058e-06,5.18791e-05,0.16136381,-0.36060995,0.6955152
-2.5724378,8.876625e-05,-2.4292697e-06,5.2017098e-05,0.1613872,-0.36342442,0.6955374
-2.571792,8.882679e-05,-2.4362207e-06,5.2103347e-05,0.1614104,-0.3661993,0.6955591
-2.5712311,8.883543e-05,-2.4431718e-06,5.2206848e-05,0.16143356,-0.36987445,0.69558084
-2.5705514,8.887003e-05,-2.4498654e-06,5.233622e-05,0.1614565,-0.37420496,0.6956033
-2.5698206,8.894786e-05,-2.4563017e-06,5.2482847e-05,0.16147937,-0.37834504,0.6956256
-2.5693448,8.903435e-05,-2.4627377e-06,5.257772e-05,0.16150212,-0.381711,0.69564754
-2.568682,8.906029e-05,-2.469174e-06,5.2724343e-05,0.16152476,-0.38431525,0.69566864
-2.5680532,8.906894e-05,-2.4753526e-06,5.2827843e-05,0.16154712,-0.38649166,0.6956892
-2.5674074,8.912948e-05,-2.4820463e-06,5.2879594e-05,0.1615696,-0.388579,0.6957093
-2.5667105,8.9198664e-05,-2.4882252e-06,5.302622e-05,0.16159166,-0.39072323,0.69572943
-2.5661666,8.922461e-05,-2.4946612e-06,5.3155592e-05,0.16161391,-0.39285016,0.6957495
-2.565521,8.923326e-05,-2.5010975e-06,5.3259093e-05,0.16163588,-0.39479408,0.6957693
-2.564943,8.925921e-05,-2.5077911e-06,5.336259e-05,0.16165766,-0.39649314,0.6957888
-2.5643823,8.931974e-05,-2.5131974e-06,5.348334e-05,0.16167946,-0.3979696,0.69580775
-2.5637195,8.935433e-05,-2.5201484e-06,5.358684e-05,0.16170113,-0.39928782,0.69582653
