ICE_ICE_Torque_Nm,ICE_fuel_tot_gps,ICE_NOx_eo_gps,ICE_CO_eo_gps,ICE_THC_eo_gps,ICE_T_gas_eo_K,ICE_NOx_tp_gps,ICE_CO_tp_gps,ICE_CO2_tp_gps,ICE_THC_tp_gps,ICE_T_Wall_SCR1_K,ICE_T_Wall_DOC_K,ICE_T_Sub_DPF_K,ICE_T_Wall_SCR2_K,ICE_T_Wall_SCR3_K,ICE_T_gas_tp_K,DRV_Car_Speed_kmph,DRV_SOC_1
-0.037734117,-4.48345e-05,-6.631089e-05,-4.766969e-05,-3.8518785e-05,297.6759,-3.1103937e-05,2.3745445e-06,-5.9490805e-05,-2.4050336e-05,297.79477,296.73392,298.6195,299.75763,299.12177,299.40005,32.64624,0.6926588
-0.037440408,-5.686327e-05,-6.5718385e-05,-4.7314923e-05,-3.8206806e-05,297.67923,-3.030435e-05,2.5388213e-06,-6.022225e-05,-2.346183e-05,297.79565,296.73407,298.62115,299.75238,299.11597,299.40726,33.50558,0.6924114
-0.037054915,-6.7251756e-05,-6.519994e-05,-4.69975e-05,-3.7874033e-05,297.6822,-2.9584722e-05,2.8524403e-06,-6.0648923e-05,-2.2912554e-05,297.79675,296.73453,298.6228,299.74722,299.1103,299.41336,34.3987,0.692157
-0.03674285,-7.490643e-05,-6.463213e-05,-4.6717418e-05,-3.760365e-05,297.68546,-2.8985032e-05,3.016717e-06,-6.125846e-05,-2.2461365e-05,297.79788,296.73474,298.62473,299.7417,299.104,299.41977,35.303596,0.6918984
-0.036375716,-8.201433e-05,-6.391619e-05,-4.6381323e-05,-3.731247e-05,297.68878,-2.8305383e-05,3.2257965e-06,-6.150227e-05,-2.199056e-05,297.79922,296.73505,298.62628,299.73654,299.09808,299.4257,36.227715,0.6916355
-0.036137078,-9.1309295e-05,-6.347181e-05,-4.6138586e-05,-3.6896505e-05,297.69214,-2.7625734e-05,3.4796785e-06,-6.1868e-05,-2.1598222e-05,297.80035,296.73508,298.62802,299.73093,299.09207,299.43082,37.169304,0.6913698
-0.035696514,-9.6776916e-05,-6.295337e-05,-4.5802488e-05,-3.6584526e-05,297.69543,-2.7066024e-05,3.703692e-06,-6.174609e-05,-2.1127416e-05,297.80206,296.73526,298.62933,299.7254,299.086,299.43607,38.13747,0.6911059
-0.035402805,-0.00010333806,-6.231149e-05,-4.5578425e-05,-3.639734e-05,297.69858,-2.658627e-05,3.9127717e-06,-6.180705e-05,-2.0813544e-05,297.80334,296.73535,298.63098,299.71976,299.08002,299.44086,39.02923,0.6908722
-0.03503567,-0.00010989921,-6.179306e-05,-4.5279674e-05,-3.598137e-05,297.702,-2.606654e-05,4.0770483e-06,-6.156323e-05,-2.0480058e-05,297.80505,296.7358,298.63235,299.7145,299.07373,299.44528,39.89135,0.69066346
-0.034852102,-0.00011482007,-6.1274615e-05,-4.498092e-05,-3.569019e-05,297.70514,-2.5546808e-05,4.301062e-06,-6.138037e-05,-2.0225038e-05,297.80658,296.73575,298.6336,299.70892,299.0678,299.44955,40.720184,0.69048744
-0.034429897,-0.000118100645,-6.080555e-05,-4.4756856e-05,-3.539901e-05,297.70847,-2.5067056e-05,4.495207e-06,-6.1136554e-05,-1.9970017e-05,297.80817,296.73587,298.6347,299.70337,299.06186,299.45383,41.48875,0.6903498
-0.034026045,-0.00012192798,-6.0237737e-05,-4.4495446e-05,-3.5066238e-05,297.7116,-2.4747222e-05,4.674418e-06,-6.0709877e-05,-1.9714998e-05,297.80975,296.73593,298.6362,299.6977,299.05582,299.45746,42.16157,0.6902515
-0.03373234,-0.00012684884,-5.969461e-05,-4.4308727e-05,-3.473346e-05,297.71487,-2.4287458e-05,4.868563e-06,-6.02832e-05,-1.9479596e-05,297.81168,296.73615,298.6373,299.6923,299.04968,299.46063,42.71398,0.69018143
-0.033456985,-0.00013012941,-5.9250233e-05,-4.4084663e-05,-3.4421482e-05,297.71783,-2.3907654e-05,5.002971e-06,-5.9673665e-05,-1.9361894e-05,297.81345,296.7361,298.6383,299.6868,299.04364,299.46375,43.142967,0.690119
-0.03308985,-0.0001317697,-5.873179e-05,-4.3823253e-05,-3.41927e-05,297.72113,-2.358782e-05,5.152314e-06,-5.9125083e-05,-1.9146108e-05,297.81528,296.7363,298.63913,299.6812,299.0379,299.46667,43.459118,0.6900465
-0.0328145,-0.00013395674,-5.8312104e-05,-4.3617863e-05,-3.390152e-05,297.72406,-2.3267985e-05,5.3464587e-06,-5.8515547e-05,-1.906764e-05,297.81714,296.7364,298.64005,299.6755,299.03183,299.4691,43.654305,0.6899647
-0.032484077,-0.00013778408,-5.7843037e-05,-4.341247e-05,-3.3568747e-05,297.7272,-2.296814e-05,5.4659326e-06,-5.7906007e-05,-1.8910705e-05,297.81918,296.73642,298.64062,299.66992,299.0263,299.47147,43.760395,0.68988025
-0.032116942,-0.00013997113,-5.7373974e-05,-4.3263095e-05,-3.338156e-05,297.73032,-2.2628315e-05,5.600341e-06,-5.7052657e-05,-1.8832237e-05,297.82108,296.7364,298.64127,299.6641,299.02045,299.47348,43.758877,0.68981975
