ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
4055.685,11.31135,298.0,1.0,4055.685,0.0,NaN,6.882432
4132.484,8.835136,298.0,1.0,4132.484,0.0,NaN,7.575226
4384.0444,6.1569943,298.0,1.0,4384.0444,0.0,NaN,8.51677
4245.1934,10.422587,298.0,1.0,4245.1934,0.0,NaN,1.9212633
4243.327,9.223099,298.0,1.0,4243.327,0.0,NaN,8.921078
3692.8647,10.311804,298.0,1.0,3692.8647,0.0,NaN,7.3827953
4257.2427,6.6388216,298.0,1.0,4257.2427,0.0,NaN,8.577901
4500.0,13.164189,298.0,1.0,4500.0,0.0,NaN,5.6026163
4128.2163,6.572593,298.0,1.0,4128.2163,0.0,NaN,9.935379
4276.0225,7.8198647,298.0,1.0,4276.0225,0.0,NaN,14.928788
4461.3877,9.182445,298.0,1.0,4461.3877,0.0,NaN,10.027534
4282.598,3.773555,298.0,1.0,4282.598,0.0,NaN,1.6759634
4270.5615,8.45059,298.0,1.0,4270.5615,0.0,NaN,0.5199492
4111.658,9.062687,298.0,1.0,4111.658,0.0,NaN,22.348717
4042.3103,13.174855,298.0,1.0,4042.3103,0.0,NaN,17.548489
3870.0554,19.110884,298.0,1.0,3870.0554,0.0,NaN,5.4938526
4500.0,11.503196,298.0,1.0,4500.0,0.0,NaN,2.1446795
3985.5857,8.052758,298.0,1.0,3985.5857,0.0,NaN,3.257093
3966.7637,13.084133,298.0,1.0,3966.7637,0.0,NaN,0.0
3914.2295,15.923559,298.0,1.0,3914.2295,0.0,NaN,8.5863085
4319.726,13.940725,298.0,1.0,4319.726,0.0,NaN,6.4920278
4111.5103,3.0887098,298.0,1.0,4111.5103,0.0,NaN,10.367802
4500.0,8.883863,298.0,1.0,4500.0,0.0,NaN,22.355171
4217.048,6.2780695,298.0,1.0,4217.048,0.0,NaN,20.734512
4468.998,4.4657183,298.0,1.0,4468.998,0.0,NaN,8.107752
4500.0,9.309224,298.0,1.0,4500.0,0.0,NaN,6.3200026
4194.5137,7.3846097,298.0,1.0,4194.5137,0.0,NaN,8.17602
4418.5303,8.130925,298.0,1.0,4418.5303,0.0,NaN,10.3054495
4411.655,6.8987093,298.0,1.0,4411.655,0.0,NaN,11.320612
4239.4375,11.746868,298.0,1.0,4239.4375,0.0,NaN,10.27005
4075.9307,14.38838,298.0,1.0,4075.9307,0.0,NaN,7.476097
4256.508,7.789003,298.0,1.0,4256.508,0.0,NaN,14.29117
