speed_actual,speed_target,soc,ice_torque,nox,co,fuel
29.426819,29.199,0.7199797,1.1765491,0.0016395433,0.0013557007,3.0
29.254314,28.365,0.71999943,98.653244,0.0023263188,-0.0018518162,36.29201889038086
28.56845,27.071,0.72018594,166.97485,0.00172362,0.0003441895,21.004257202148438
27.182358,25.224,0.7202351,-11.745015,0.0019315626,0.0027594448,3.0
25.491539,23.001,0.7200594,26.93228,0.0017392719,-6.7159286e-05,12.885345458984375
23.581013,20.563,0.71979326,-0.34082302,0.0014478724,0.0022360145,3.0
21.631098,18.118,0.7198459,-20.747955,0.0018789897,0.002414001,3.0
19.485302,15.884,0.7201381,-26.1957,0.0025885932,0.0017789819,3.0
16.967329,14.05,0.720444,-35.309917,0.0037871744,0.00028973923,3.0
14.430202,12.839,0.7206986,43.282692,0.0026924496,-0.0020361347,22.99496841430664
12.18393,12.332,0.7208594,102.4123,0.0021201652,0.0006895588,4.016140937805176
11.343277,12.374,0.7211564,27.305216,0.002688042,0.00034783344,8.733875274658203
11.710868,12.693,0.721339,96.61746,0.0025034873,-0.001572292,56.72453689575195
12.62548,13.276,0.721358,172.2195,0.0022359753,0.00019533989,25.798715591430664
12.9017105,14.161,0.72144794,31.157719,0.0037749307,0.00066687365,9.846407890319824
13.07196,15.373,0.721436,99.22456,0.002503827,-0.0020814303,60.80552673339844
14.26572,16.773,0.72133964,186.28271,0.0021691998,0.00019323417,49.227294921875
16.26685,18.22,0.7211802,153.93916,0.001702391,3.7051857e-05,44.79135513305664
18.730677,19.713,0.7209887,168.85391,0.0016535661,-0.00052713393,43.06529998779297
