speed_actual,speed_target,soc,ice_torque,nox,fuel,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc,em1_torque_ist_nm,em2_torque_ist_nm,sun_speed_rpm,ring_speed_rpm
45.812878,44.465,0.74956423,61.703186,0.00014190376,13.357182,True,1407.7356,85.15161,2.4871202,-25.821516036987305,84.81627655029297,2220.7109375,833.5731811523438
45.83159,44.433,0.7495221,62.18048,0.00013682246,13.42811,True,1408.5615,86.66312,2.4844317,-25.92542839050293,86.32270050048828,2223.590087890625,832.5241088867188
45.903576,44.48,0.7494757,62.70324,0.00014679134,13.540889,True,1409.7106,93.14722,2.4558635,-26.177677154541016,92.68512725830078,2229.2841796875,831.6283569335938
46.055103,44.61,0.74941474,63.60453,0.00013531744,13.7149105,True,1411.1477,107.033264,2.390811,-26.543771743774414,106.7757568359375,2233.529052734375,831.3673095703125
46.289722,44.825,0.74934155,64.546814,0.00013364851,13.856374,True,1412.6854,119.766174,2.3214607,-26.930816650390625,119.63528442382812,2235.594970703125,833.0352783203125
46.57829,45.093,0.7492658,65.04815,0.00013230741,13.8925295,True,1413.6951,125.2251,2.2807002,-27.186874389648438,125.41217041015625,2231.184326171875,836.4074096679688
46.881744,45.378,0.74919593,64.99713,0.00013941526,13.849202,True,1414.134,124.371765,2.2713037,-27.18896484375,124.60645294189453,2223.58154296875,840.6470336914062
47.150665,45.64,0.74913985,64.532555,0.00014652312,13.724778,True,1414.008,116.29071,2.296898,-27.010055541992188,116.21563720703125,2216.7802734375,844.58642578125
47.3436,45.841,0.7491006,63.661285,0.00015506148,13.564832,True,1413.4663,103.55115,2.350068,-26.65304946899414,103.15033721923828,2211.18798828125,847.0419921875
47.46457,45.978,0.74907017,62.92028,0.0001578331,13.482606,True,1413.0852,95.70996,2.390945,-26.323511123657227,95.33319854736328,2209.55322265625,847.6029052734375
47.485558,46.035,0.74905336,62.344727,0.00015826523,13.351962,True,1412.6783,82.22174,2.4516225,-26.05000114440918,81.59588623046875,2212.974853515625,846.5637817382812
