ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
4219.4106,3.1715293,298.0,1.0,4219.4106,0.0,NaN,6.1322837
4304.1504,9.982287,298.0,1.0,4304.1504,0.0,NaN,9.622377
4130.8237,14.608932,298.0,1.0,4130.8237,0.0,NaN,10.808912
4201.4365,11.080532,298.0,1.0,4201.4365,0.0,NaN,8.564308
3675.5474,14.87051,298.0,1.0,3675.5474,0.0,NaN,8.449963
4041.737,11.75525,298.0,1.0,4041.737,0.0,NaN,11.041445
4261.474,7.1277013,298.0,1.0,4261.474,0.0,NaN,0.0
4353.282,4.54116,298.0,1.0,4353.282,0.0,NaN,9.601683
4098.2256,11.127089,298.0,1.0,4098.2256,0.0,NaN,2.0743995
4187.941,8.619897,298.0,1.0,4187.941,0.0,NaN,0.0
3907.3293,8.890918,298.0,1.0,3907.3293,0.0,NaN,4.594904
4500.0,10.112729,298.0,1.0,4500.0,0.0,NaN,18.601614
4180.6206,6.7827954,298.0,1.0,4180.6206,0.0,NaN,13.035968
3991.3145,12.425745,298.0,1.0,3991.3145,0.0,NaN,9.909669
4045.8433,14.010632,298.0,1.0,4045.8433,0.0,NaN,14.252776
4045.1848,10.621438,298.0,1.0,4045.1848,0.0,NaN,13.643697
3708.5571,13.907735,298.0,1.0,3708.5571,0.0,NaN,6.2204213
4440.983,7.9102855,298.0,1.0,4440.983,0.0,NaN,12.8189
4114.5303,7.960418,298.0,1.0,4114.5303,0.0,NaN,14.460322
4253.4526,15.447291,298.0,1.0,4253.4526,0.0,NaN,3.2636971
4161.3237,8.115766,298.0,1.0,4161.3237,0.0,NaN,2.8744817
4254.4536,12.681215,298.0,1.0,4254.4536,0.0,NaN,11.009273
3972.9304,11.440853,298.0,1.0,3972.9304,0.0,NaN,12.821916
4362.271,12.2538185,298.0,1.0,4362.271,0.0,NaN,18.254667
4475.114,12.647105,298.0,1.0,4475.114,0.0,NaN,8.711147
4245.269,6.870126,298.0,1.0,4245.269,0.0,NaN,9.769628
4260.726,14.710075,298.0,1.0,4260.726,0.0,NaN,9.475425
3895.9998,9.366504,298.0,1.0,3895.9998,0.0,NaN,14.416656
3887.4395,6.5360465,298.0,1.0,3887.4395,0.0,NaN,13.258892
4228.433,7.715518,298.0,1.0,4228.433,0.0,NaN,5.8389635
4416.4575,11.637739,298.0,1.0,4416.4575,0.0,NaN,13.767323
4177.2515,7.0451355,298.0,1.0,4177.2515,0.0,NaN,12.867964
4219.4106,3.1715293,298.0,1.0,4219.4106,0.0,NaN,6.1322837
4304.1504,9.982287,298.0,1.0,4304.1504,0.0,NaN,9.622377
4130.8237,14.608932,298.0,1.0,4130.8237,0.0,NaN,10.808912
4201.4365,11.080532,298.0,1.0,4201.4365,0.0,NaN,8.564308
3675.5474,14.87051,298.0,1.0,3675.5474,0.0,NaN,8.449963
4041.737,11.75525,298.0,1.0,4041.737,0.0,NaN,11.041445
4261.474,7.1277013,298.0,1.0,4261.474,0.0,NaN,0.0
4353.282,4.54116,298.0,1.0,4353.282,0.0,NaN,9.601683
4098.2256,11.127089,298.0,1.0,4098.2256,0.0,NaN,2.0743995
4187.941,8.619897,298.0,1.0,4187.941,0.0,NaN,0.0
3907.3293,8.890918,298.0,1.0,3907.3293,0.0,NaN,4.594904
4500.0,10.112729,298.0,1.0,4500.0,0.0,NaN,18.601614
4180.6206,6.7827954,298.0,1.0,4180.6206,0.0,NaN,13.035968
3991.3145,12.425745,298.0,1.0,3991.3145,0.0,NaN,9.909669
4045.8433,14.010632,298.0,1.0,4045.8433,0.0,NaN,14.252776
4045.1848,10.621438,298.0,1.0,4045.1848,0.0,NaN,13.643697
3708.5571,13.907735,298.0,1.0,3708.5571,0.0,NaN,6.2204213
3898.026,11.3824415,298.0,1.0,3898.026,0.0,NaN,5.0105095
4287.5596,11.934685,298.0,1.0,4287.5596,0.0,NaN,7.6319876
4288.5107,12.052418,298.0,1.0,4288.5107,0.0,NaN,5.0875754
4350.7705,7.143797,298.0,1.0,4350.7705,0.0,NaN,1.7257869
4241.43,8.629153,298.0,1.0,4241.43,0.0,NaN,0.0
3994.233,9.4325905,298.0,1.0,3994.233,0.0,NaN,4.147628
3697.4766,10.240058,298.0,1.0,3697.4766,0.0,NaN,6.9709272
4121.0967,11.408916,298.0,1.0,4121.0967,0.0,NaN,2.4590075
4264.7104,13.086529,298.0,1.0,4264.7104,0.0,NaN,0.0
4209.833,12.986602,298.0,1.0,4209.833,0.0,NaN,2.9184432
4397.744,10.117315,298.0,1.0,4397.744,0.0,NaN,9.620327
4334.19,4.841172,298.0,1.0,4334.19,0.0,NaN,5.3281426
3911.2397,6.426836,298.0,1.0,3911.2397,0.0,NaN,2.4671674
4123.516,14.516879,298.0,1.0,4123.516,0.0,NaN,7.372606
4247.4624,7.628817,298.0,1.0,4247.4624,0.0,NaN,5.9768734
4316.9136,13.131478,298.0,1.0,4316.9136,0.0,NaN,10.847261
4492.7905,5.5408435,298.0,1.0,4492.7905,0.0,NaN,8.407667
4433.6147,3.4211178,298.0,1.0,4433.6147,0.0,NaN,7.864371
4249.2515,6.81205,298.0,1.0,4249.2515,0.0,NaN,7.500735
4500.0,9.582316,298.0,1.0,4500.0,0.0,NaN,5.245176
4192.8184,4.638999,298.0,1.0,4192.8184,0.0,NaN,6.4899893
4004.3188,3.7233307,298.0,1.0,4004.3188,0.0,NaN,11.483955
4165.475,11.242339,298.0,1.0,4165.475,0.0,NaN,8.043429
4106.576,5.819419,298.0,1.0,4106.576,0.0,NaN,10.610855
4435.005,11.933157,298.0,1.0,4435.005,0.0,NaN,16.110516
4208.0728,12.082427,298.0,1.0,4208.0728,0.0,NaN,13.900148
4144.5444,12.157712,298.0,1.0,4144.5444,0.0,NaN,11.52578
4424.2544,9.138196,298.0,1.0,4424.2544,0.0,NaN,5.7324114
4335.4277,11.615191,298.0,1.0,4335.4277,0.0,NaN,4.5505047
4500.0,7.799302,298.0,1.0,4500.0,0.0,NaN,0.0
4500.0,11.741027,298.0,1.0,4500.0,0.0,NaN,2.1955252
4348.5146,8.61899,298.0,1.0,4348.5146,0.0,NaN,3.1478195
4392.3174,14.247387,298.0,1.0,4392.3174,0.0,NaN,0.0
4235.3984,12.853512,298.0,1.0,4235.3984,0.0,NaN,12.494331
4378.316,11.363976,298.0,1.0,4378.316,0.0,NaN,0.13386309
4183.094,8.724437,298.0,1.0,4183.094,0.0,NaN,0.0
4048.7717,12.321704,298.0,1.0,4048.7717,0.0,NaN,10.715193
4086.7993,6.9317555,298.0,1.0,4086.7993,0.0,NaN,6.448755
4043.0537,7.688009,298.0,1.0,4043.0537,0.0,NaN,8.021346
4237.918,9.746668,298.0,1.0,4237.918,0.0,NaN,2.0891428
4419.233,5.2798414,298.0,1.0,4419.233,0.0,NaN,11.191029
4224.7314,8.584079,298.0,1.0,4224.7314,0.0,NaN,9.15828
4285.2905,9.770808,298.0,1.0,4285.2905,0.0,NaN,3.777051
4465.4478,12.603165,298.0,1.0,4465.4478,0.0,NaN,6.7287474
3757.9976,3.6541991,298.0,1.0,3757.9976,0.0,NaN,2.483931
4006.3313,12.02987,298.0,1.0,4006.3313,0.0,NaN,12.434119
4058.1575,7.1017995,298.0,1.0,4058.1575,0.0,NaN,22.64623
4248.1143,14.41185,298.0,1.0,4248.1143,0.0,NaN,20.577694
4023.0015,10.042916,298.0,1.0,4023.0015,0.0,NaN,15.573952
4099.8887,13.932545,298.0,1.0,4099.8887,0.0,NaN,5.4260464
3921.2632,14.655512,298.0,1.0,3921.2632,0.0,NaN,9.543705
4021.8745,12.292633,298.0,1.0,4021.8745,0.0,NaN,11.990753
4052.9226,6.881082,298.0,1.0,4052.9226,0.0,NaN,12.99589
4169.2803,13.032209,298.0,1.0,4169.2803,0.0,NaN,9.135967
3877.969,14.688784,298.0,1.0,3877.969,0.0,NaN,16.067007
4057.4326,13.192449,298.0,1.0,4057.4326,0.0,NaN,16.84362
4496.9263,6.5576315,298.0,1.0,4496.9263,0.0,NaN,11.059159
4500.0,12.869198,298.0,1.0,4500.0,0.0,NaN,6.167981
4345.21,11.232663,298.0,1.0,4345.21,0.0,NaN,2.3136706
4171.4126,9.82141,298.0,1.0,4171.4126,0.0,NaN,11.3821
3940.962,3.0,298.0,1.0,3940.962,0.0,NaN,4.5934796
4163.9697,6.4290442,298.0,1.0,4163.9697,0.0,NaN,18.45134
4239.9507,6.1864424,298.0,1.0,4239.9507,0.0,NaN,14.730919
4019.9622,11.079141,298.0,1.0,4019.9622,0.0,NaN,12.5061245
4392.3174,14.247387,298.0,1.0,4392.3174,0.0,NaN,0.0
4235.3984,12.853512,298.0,1.0,4235.3984,0.0,NaN,12.494331
4378.316,11.363976,298.0,1.0,4378.316,0.0,NaN,0.13386309
4183.094,8.724437,298.0,1.0,4183.094,0.0,NaN,0.0
4048.7717,12.321704,298.0,1.0,4048.7717,0.0,NaN,10.715193
4086.7993,6.9317555,298.0,1.0,4086.7993,0.0,NaN,6.448755
4043.0537,7.688009,298.0,1.0,4043.0537,0.0,NaN,8.021346
4237.918,9.746668,298.0,1.0,4237.918,0.0,NaN,2.0891428
4419.233,5.2798414,298.0,1.0,4419.233,0.0,NaN,11.191029
4224.7314,8.584079,298.0,1.0,4224.7314,0.0,NaN,9.15828
4285.2905,9.770808,298.0,1.0,4285.2905,0.0,NaN,3.777051
4465.4478,12.603165,298.0,1.0,4465.4478,0.0,NaN,6.7287474
3757.9976,3.6541991,298.0,1.0,3757.9976,0.0,NaN,2.483931
4006.3313,12.02987,298.0,1.0,4006.3313,0.0,NaN,12.434119
4058.1575,7.1017995,298.0,1.0,4058.1575,0.0,NaN,22.64623
4248.1143,14.41185,298.0,1.0,4248.1143,0.0,NaN,20.577694
4023.0015,10.042916,298.0,1.0,4023.0015,0.0,NaN,15.573952
4099.8887,13.932545,298.0,1.0,4099.8887,0.0,NaN,5.4260464
3921.2632,14.655512,298.0,1.0,3921.2632,0.0,NaN,9.543705
4021.8745,12.292633,298.0,1.0,4021.8745,0.0,NaN,11.990753
4052.9226,6.881082,298.0,1.0,4052.9226,0.0,NaN,12.99589
4169.2803,13.032209,298.0,1.0,4169.2803,0.0,NaN,9.135967
3877.969,14.688784,298.0,1.0,3877.969,0.0,NaN,16.067007
4057.4326,13.192449,298.0,1.0,4057.4326,0.0,NaN,16.84362
4496.9263,6.5576315,298.0,1.0,4496.9263,0.0,NaN,11.059159
4500.0,12.869198,298.0,1.0,4500.0,0.0,NaN,6.167981
4345.21,11.232663,298.0,1.0,4345.21,0.0,NaN,2.3136706
4171.4126,9.82141,298.0,1.0,4171.4126,0.0,NaN,11.3821
3940.962,3.0,298.0,1.0,3940.962,0.0,NaN,4.5934796
4163.9697,6.4290442,298.0,1.0,4163.9697,0.0,NaN,18.45134
4239.9507,6.1864424,298.0,1.0,4239.9507,0.0,NaN,14.730919
4019.9622,11.079141,298.0,1.0,4019.9622,0.0,NaN,12.5061245
4364.9375,9.397966,298.0,1.0,4364.9375,0.0,NaN,6.260994
4359.1064,7.444401,298.0,1.0,4359.1064,0.0,NaN,1.3925761
4312.619,6.637466,298.0,1.0,4312.619,0.0,NaN,0.0
4166.7275,5.1094923,298.0,1.0,4166.7275,0.0,NaN,1.8009543
4152.9546,13.734013,298.0,1.0,4152.9546,0.0,NaN,5.1927447
4252.1113,6.926161,298.0,1.0,4252.1113,0.0,NaN,8.405006
4076.002,15.474891,298.0,1.0,4076.002,0.0,NaN,7.047415
4230.1523,11.763391,298.0,1.0,4230.1523,0.0,NaN,5.669242
3872.923,11.515654,298.0,1.0,3872.923,0.0,NaN,7.6256332
4052.9785,16.285301,298.0,1.0,4052.9785,0.0,NaN,3.9545865
4067.3635,14.35868,298.0,1.0,4067.3635,0.0,NaN,11.529505
4242.148,7.5870786,298.0,1.0,4242.148,0.0,NaN,0.0
4305.4434,9.424567,298.0,1.0,4305.4434,0.0,NaN,3.0352771
4205.076,11.956988,298.0,1.0,4205.076,0.0,NaN,11.209893
3966.3313,14.924864,298.0,1.0,3966.3313,0.0,NaN,6.693211
3809.733,14.705846,298.0,1.0,3809.733,0.0,NaN,4.970291
3703.2524,8.671271,298.0,1.0,3703.2524,0.0,NaN,0.0
3759.9937,6.349344,298.0,1.0,3759.9937,0.0,NaN,7.420048
4307.469,4.8202505,298.0,1.0,4307.469,0.0,NaN,6.2374773
4321.892,8.173732,298.0,1.0,4321.892,0.0,NaN,0.0
4195.596,11.496421,298.0,1.0,4195.596,0.0,NaN,4.6319456
4007.5964,11.377994,298.0,1.0,4007.5964,0.0,NaN,8.857796
3984.7837,14.238473,298.0,1.0,3984.7837,0.0,NaN,4.1968346
3581.92,11.89675,298.0,1.0,3581.92,0.0,NaN,11.321813
3881.9211,7.254224,298.0,1.0,3881.9211,0.0,NaN,17.496283
4412.416,5.67839,298.0,1.0,4412.416,0.0,NaN,20.228344
4368.5767,6.5944457,298.0,1.0,4368.5767,0.0,NaN,7.4954896
4107.494,3.0,298.0,1.0,4107.494,0.0,NaN,4.800993
4004.622,12.4994545,298.0,1.0,4004.622,0.0,NaN,6.526625
3840.455,18.030016,298.0,1.0,3840.455,0.0,NaN,8.467439
4093.2427,16.796146,298.0,1.0,4093.2427,0.0,NaN,8.172401
3817.9966,13.023246,298.0,1.0,3817.9966,0.0,NaN,5.691376
